well,ingredient1,concentration1,unit1,ingredient2,...
D10,GFP Plasmid,0.0,concentration,ATc,80.0,concentration,txtl_mm,0.75,fraction,water,0.17,fraction
D11,GFP Plasmid,0.0,concentration,ATc,90.0,concentration,txtl_mm,0.75,fraction,water,0.16,fraction
D2,GFP Plasmid,0.0,concentration,ATc,0.0,concentration,txtl_mm,0.75,fraction,water,0.25,fraction
D3,GFP Plasmid,0.0,concentration,ATc,10.0,concentration,txtl_mm,0.75,fraction,water,0.24,fraction
D4,GFP Plasmid,0.0,concentration,ATc,20.0,concentration,txtl_mm,0.75,fraction,water,0.23,fraction
D5,GFP Plasmid,0.0,concentration,ATc,30.0,concentration,txtl_mm,0.75,fraction,water,0.22,fraction
D6,GFP Plasmid,0.0,concentration,ATc,40.0,concentration,txtl_mm,0.75,fraction,water,0.21,fraction
D7,GFP Plasmid,0.0,concentration,ATc,50.0,concentration,txtl_mm,0.75,fraction,water,0.2,fraction
D8,GFP Plasmid,0.0,concentration,ATc,60.0,concentration,txtl_mm,0.75,fraction,water,0.19,fraction
D9,GFP Plasmid,0.0,concentration,ATc,70.0,concentration,txtl_mm,0.75,fraction,water,0.18,fraction
E10,GFP Plasmid,1.0433819771733575,concentration,ATc,80.0,concentration,txtl_mm,0.75,fraction,water,0.1625,fraction
E11,GFP Plasmid,1.0433819771733575,concentration,ATc,90.0,concentration,txtl_mm,0.75,fraction,water,0.1525,fraction
E2,GFP Plasmid,1.0433819771733575,concentration,ATc,0.0,concentration,txtl_mm,0.75,fraction,water,0.2425,fraction
E3,GFP Plasmid,1.0433819771733575,concentration,ATc,10.0,concentration,txtl_mm,0.75,fraction,water,0.2325,fraction
E4,GFP Plasmid,1.0433819771733575,concentration,ATc,20.0,concentration,txtl_mm,0.75,fraction,water,0.2225,fraction
E5,GFP Plasmid,1.0433819771733575,concentration,ATc,30.0,concentration,txtl_mm,0.75,fraction,water,0.2125,fraction
E6,GFP Plasmid,1.0433819771733575,concentration,ATc,40.0,concentration,txtl_mm,0.75,fraction,water,0.2025,fraction
